date_avg,Ta (deg C) ,Tw (deg C),U2,C (tenths),Kd (watt/m^2),P  (Kpa)
101,32.45762712,26.49056604,14,0.6,363892,85.57684576
102,29.18867925,27.3902439,11,0.4,300756,86.86623283
103,29.23170732,25.90384615,8,0.6,292593,86.87774024
104,28.55769231,29.54545455,9,0.6,390130,86.486905
105,34.24242424,32.80327869,9,0.4,404933,86.9237503
106,34.83606557,34.35714286,13,0.6,369467,86.62664689
107,39.92857143,36.75757576,11,0.4,342939,87.66233071
108,44.45454545,33.54545455,11,0.3,253924,86.66518303
109,37,35.96551724,13,0.4,284519,86.70827758
110,39.31034483,36.11428571,9,0.5,183140,86.53681931
111,40,35.35483871,9,0.4,280312,86.50456057
112,40.74193548,34,10,0.3,289580,87.12068774
113,40.89285714,35.35714286,10,0.1,387157,87.88725786
114,44.64285714,40.4137931,9,0,457684,87.756655
115,49.96551724,39.31034483,9,0.3,294136,87.30392345
116,46.75862069,36.60714286,11,0.3,392920,87.10893655
117,45.67857143,35.76190476,10,0.3,443683,87.03954857
118,38.4047619,35.13793103,6,0.5,182088,86.90169
119,41.20689655,42.22727273,0,0.2,398032,87.60632828
120,44.40909091,40.9,9,0.4,163391,87.03866909
121,46.26666667,36.75,9,0.2,448059,87.111622
122,40.65625,41.61290323,9,0.5,306550,86.71228563
123,48.16129032,45.14285714,8,0.3,477148,87.48004065
124,54.53571429,45.72,8,0,479038,87.333405
125,50.84,45.06896552,8,0.4,136600,86.7791168
126,50.68965517,36.96875,8,0.5,279459,86.63372897
127,40.5,31.025,9,0.5,288150,86.73873875
128,34.075,30.31578947,3,0.4,287496,86.2575035
129,33.94736842,31.32142857,10,0.5,276989,86.76446789
130,36.07142857,32.2,10,0.2,391367,87.36363714
131,41.36,38.74193548,8,0.2,502757,87.51175379
132,44.35483871,41.60714286,8,0.6,229256,87.55868323
133,49.92857143,47.39285714,7,0.5,422527,87.61516857
134,55.07142857,49.10714286,10,0.4,306534,87.60307571
135,61.28571429,46.64285714,6,0.2,398700,87.22698786
136,57.85714286,42.78571429,3,0,403004,87.28624286
137,54.35714286,43.42857143,6,0,512666,87.64419143
138,54.10714286,33.42857143,5,0.2,354601,87.56316929
139,39.45714286,35.10714286,5,0.2,490132,87.39266
140,44.07142857,40.33333333,0,0.2,517937,87.43135714
141,48.51515152,40.96428571,0,0.5,392717,87.51783939
142,51.78571429,43.10714286,3,0.1,517291,87.71070214
143,54.92857143,43.64285714,0,0.3,396417,87.536565
144,56.57142857,48,0,0.2,522469,87.42289214
145,61.82142857,50.72413793,3,0,476305,87.27052214
146,64,46.56666667,0,0.2,325322,86.97933448
147,52.66666667,44.64705882,0,0.5,224932,87.10710733
148,48.875,36.16666667,3,0.5,263042,86.67562471
149,43.94285714,38,3,0.6,244819,87.07099
150,43.78571429,43.65217391,0,0.5,317926,87.248755
151,49.75,48,0,0.5,371242,87.5899313
152,59.71428571,52,3,0.1,499606,87.35638143
153,63.23333333,49.77083333,3,0.3,389486,86.91394966
154,55.9375,50.85,0,0.5,336361,86.74720375
155,55.025,51.24444444,3,0.6,241345,86.791645
156,56.93333333,45.8125,3,0.4,344020,86.81553511
157,52.84375,48.03571429,3,0.3,472377,87.39583438
158,59.07142857,54.26666667,3,0.1,455727,87.40233429
159,60.26666667,53.96428571,3,0.4,293454,87.33284067
160,64.60714286,56.32142857,0,0,457017,87.37452071
161,67.28571429,56.67857143,0,0.2,425425,87.31768429
162,66.89285714,49.09756098,0,0.5,367740,87.06736214
163,52.85365854,38.07142857,0,0.4,251226,86.51973268
164,45.14285714,37.58064516,3,0.5,315954,87.38298571
165,44.32258065,43.25,3,0.3,387023,87.65480194
166,56.28571429,49.72413793,3,0,536328,87.21973214
167,64.5862069,47.74074074,0,0,456551,86.61504759
168,57.39285714,45,0,0.2,281300,86.36355786
169,49.15789474,42.17857143,0,0.4,360287,87.03534789
170,49.42857143,45.71428571,0,0.3,372437,87.54623929
171,54.82142857,48.75,0,0,551733,87.92111786
172,62.21428571,52.42857143,0,0,547811,88.04809286
173,69.25,50.64285714,0,0,539801,87.58130857
174,67.03571429,45.67857143,0,0,548569,87.31042857
175,62.42857143,46.67857143,0,0,554825,87.62968
176,64.10714286,52.24137931,0,0,551592,87.89814143
177,73.64285714,52.42857143,0,0,498118,87.80014759
178,75.14285714,49.32142857,0,0,546679,87.57526214
179,70.75,48.25,0,0,545430,87.47126357
180,65.17857143,51.92857143,0,0,549948,87.63088929
181,71.32142857,53.92857143,0,0,524510,87.37331143
182,72,53.53571429,0,0.1,493637,87.22456929
183,70.10714286,51.48275862,0,0,443713,86.86541143
184,63.5862069,51.35714286,0,0.3,365850,86.8765869
185,62.78571429,53.28571429,3,0.4,333104,87.13750071
186,66.75,53.5,0,0.5,369746,87.12903571
187,69.32142857,54.25,3,0.1,512817,87.07703643
188,69.28571429,56.25,5,0,531540,87.30921929
189,72.10714286,55.32142857,5,0,500276,87.50996071
190,72,54.2962963,5,0.1,484294,87.705865
191,70.62962963,51.78571429,5,0,526508,88.07111407
192,70.25,56.8,5,0,534531,87.78809643
193,80,57.375,0,0,441109,87.18047067
194,76.71875,54.5,0,0.1,483924,87.14082625
195,75,54.28571429,0,0,524317,87.31889357
196,75.10714286,54.10714286,0,0,523468,87.44586857
197,75.67857143,55.86206897,0,0,533625,87.36121857
198,76.27586207,49.39285714,0,0,520249,87.07857931
199,69.35714286,52.89285714,0,0,540324,87.53051857
200,75.57142857,54.39285714,5,0,524370,87.54261143
201,78.14285714,54.32142857,0,0,523820,87.63935429
202,78.14285714,51.67857143,8,0,518510,87.44465929
203,75.92857143,51.39285714,7,0,530983,87.30921929
204,73.92857143,51.10714286,21,0,519916,87.38056714
205,73.60714286,53.96428571,15,0,527110,87.53051857
206,76.21428571,54.28571429,11,0,514905,87.38056714
207,79.78571429,57.625,11,0,509841,87.367265
208,80.41666667,57.5,10,0,486419,87.51681333
209,82,55.89285714,9,0,495713,87.46400786
210,81.67857143,56.53571429,9,0,471245,87.43619429
211,82.66666667,59.21428571,5,0,414911,87.45675214
212,85.85714286,61.13333333,11,0,30817,87.43135714
213,82.3,61.61290323,10,0.1,117386,87.396046
214,68.58064516,59.79411765,10,0.4,29246,87.67883161
215,75.26470588,54.10344828,10,0.1,152093,87.38668471
216,75.51724138,55.39285714,10,0.1,471756,87.21051655
217,75.82142857,49.92857143,9,0.3,393471,87.18345357
218,72.78571429,51.71428571,0,0.1,495269,87.49061214
219,74.67857143,57.24242424,3,0,480026,87.66837714
220,80.3125,61.31034483,6,0.1,319867,87.44088485
221,73.44827586,61.18518519,5,0.2,250108,87.46738552
222,71.85185185,52.85714286,5,0.2,417588,87.57700889
223,71.07142857,49.07142857,3,0,462843,87.56921571
224,70.35714286,52.82142857,5,0.1,444118,87.44828714
225,73.71428571,51.03571429,0,0,470400,87.62000571
226,72.21428571,52.10714286,0,0,460677,87.59098286
227,74.57142857,53.92592593,0,0,463345,87.44103143
228,78.03703704,55.75,0,0,458312,87.41272519
229,80.92857143,56.64285714,0,0,385548,87.49544929
230,75.75,58.64285714,0,0.1,253672,87.41926429
231,74.75,58.37931034,0,0.1,411987,87.23424357
232,76.31034483,57,0,0.1,421253,87.20117586
233,76.71428571,55.5,0,0,434590,87.47126357
234,77.60714286,55.32142857,0,0,437243,87.48819357
235,74.75,57,0,0,431069,87.27777786
236,76.78571429,56.07142857,3,0,427878,87.10605929
237,75.42857143,54.39285714,0,0.1,426645,87.40959
238,73.46428571,50.82142857,3,0,410703,87.26689429
239,66.92857143,48.14285714,3,0,408804,87.079455
240,65.85714286,51.5,0,0,426309,87.18466286
241,71.89285714,52.78571429,0,0,382336,87.49061214
242,74.60714286,52.21428571,0,0,313823,87.63693571
243,75.57142857,50.92592593,0,0,412749,87.50633286
244,71.59259259,50.46428571,3,0,411500,87.54382071
245,76.64285714,50.85185185,0,0,401234,87.36968357
246,73.07407407,48.96428571,0,0,357262,87.43404444
247,67.85714286,49.39285714,0,0,375985,87.587355
248,68.46428571,53.89285714,0,0,384195,87.55107643
249,75.74074074,56.8125,0,0,345871,87.56196
250,75.21875,46.96428571,3,0.1,283115,87.66248188
251,66.75,39.42857143,0,0,405851,87.61033143
252,56.71428571,42.46428571,0,0,391314,87.30075429
253,60.71428571,46.35714286,0,0.1,369707,87.46038
254,66.14285714,53.1,0,0,313604,87.62242429
255,63.46666667,56.33333333,3,0.4,83981,87.34299867
256,64.09090909,50.67857143,3,0.2,307170,86.85910848
257,60.96428571,49.07142857,8,0,322289,86.96457286
258,59.25,45.53571429,9,0.1,328076,87.24270857
259,56.57142857,45.85714286,3,0,341227,87.24149929
260,56.96428571,47.60714286,0,0.2,289613,86.51592786
261,57.39285714,47.10714286,0,0.3,211953,86.53648571
262,58.42857143,49.27586207,5,0,341578,86.910155
263,60.62068966,45.28571429,3,0.1,294267,87.02487034
264,50.67857143,45.10714286,7,0.3,164623,87.19433714
265,52.75,39.71428571,13,0.3,303332,87.58614571
266,50.57142857,41.53571429,18,0,344934,87.80623571
267,56.10714286,44.17857143,17,0,341807,87.99972143
268,60.96428571,45.64285714,17,0,338463,87.95618714
269,64.14285714,47.14285714,13,0,329927,87.64902857
270,66,45.03448276,9,0,312141,87.367265
